Antagonist Arm,F,Bye Bye,Guy Gfawkes
Bye Bye,M,Donald Duck,Guy Gfawkes
Charlie Chaplin,M,Mickey Mouse,Kipper Konsumer
Donald Duck,M,Charlie Chaplin,Ignorant Ice
Elma Elephant,F,Lucy Lucy,Ignorant Ice
Freddy Flintoff,M,Antagonist Arm,Jumping Jack
Guy Gfawkes,M,Hagrid Hut,Bye Bye
Hagrid Hut,M,Kipper Konsumer,Mickey Mouse
Ignorant Ice,F,Donald Duck,Elma Elephant
Jumping Jack,F,Freddy Flintoff,Charlie Chaplin
Kipper Konsumer,F,Bye Bye,Hagrid Hut
Lucy Lucy,F,Elma Elephant,Donald Duck
Mickey Mouse,M,Lucy Lucy,Kipper Konsumer
